,Artist,Title,Days,T10,Pk,x,PkStreams,Total
3948,iKON,KILLING ME,34,78,4937,,110751,
3949,Princess Ai,我不離開,42,38,5116,,110700,
3950,Sam Smith,"Baby, You Make Me Crazy",20,27,10808,,110689,
3951,Kygo,Forever Yours,15,60,12388,,110599,
3952,Selena Gomez,Me & The Rhythm,46,46,4012,,110572,
3953,Van Ness Wu,下一首情歌,31,50,6930,,110566,
3954,Stefanie Sun,我要的幸福,49,56,3887,,110486,
3955,JOONIL JUNG,The first snow,42,103,3884,,110424,
3956,Shi Shi,Bounce (Prod. by KIRE),9,101,14391,,110359,
3957,Red Velvet,빨간 맛 Red Flavor,33,65,6789,,110341,
3958,Alesso,Falling,38,68,4917,,110210,
3959,Nick Jonas,Levels,47,61,3711,,110175,
3960,吳青峰,巴別塔慶典,18,83,9213,,110135,
3961,NICKTHEREAL,CLOUD 9,10,98,14260,,110055,
3962,瘦子E.SO,Bloodline,13,56,14471,,109762,
3963,Will Pan,Coming Home,34,52,8122,,109599,
3964,Various Artists,還是會,58,82,2909,,109585,
3965,LaLa Hsu,修煉愛情,34,27,8697,,109486,
3966,Claire Kuo,可惜,52,61,3727,,109446,
3967,Craig Cardiff,Dirty Old Town,73,94,1969,,109419,
3968,Ed Sheeran,Perfect Symphony (Ed Sheeran & Andrea Bocelli),23,34,11005,,109387,
3969,Bebe Rexha,Ferrari,18,24,12652,,109323,
3970,Jung Kook,Still With You,11,135,11372,,109243,
3971,G.E.M.,桃花諾,26,58,8147,,109181,
3972,Xian Zi,天真,11,157,11072,,109077,
3973,LANY,If You See Her,18,21,10754,,108957,
3974,KUN,情人,9,52,15116,,108797,
3975,Chris Lee Artiste,作為怪物,19,69,9313,,108788,
3976,LaLa Hsu,你的童話 (電視劇《你也有今天》片尾曲),8,101,16090,,108758,
3977,BTS,Serendipity (Full Length Edition),21,30,9741,,108503,
3978,Nelly,The Fix,54,113,3139,,108217,
3979,輕鬆玩樂團,看清,38,83,4490,,108126,
3980,Taylor Swift,Red (Taylor's Version),13,66,11379,,108107,
3981,Justin Bieber,Purpose,37,69,3648,,107888,
3982,張三李四,彩蛋,10,55,14607,,107670,
3983,Pharrell Williams,Freedom,40,31,6016,,107550,
3984,Lady Gaga,Free Woman,13,49,16719,,107452,
3985,R3HAB,All Around The World (La La La),22,127,5919,,107402,
3986,LÉON,Tired of Talking,36,18,7458,,107282,
3987,HYUKOH,Young Man,7,83,18857,,107256,
3988,Grady Guan,更好的我們,25,50,7672,,107142,
3989,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",13,148,9157,,107084,
3990,The Script,Hall of Fame,80,72,3128,,107049,
3991,Migos,MotorSport,30,83,5266,,107004,
3992,Luji 黃莉,寂寞弧度,18,52,9062,,106937,
3993,BAEKHYUN,Bambi,12,81,12066,,106879,
3994,Angela Chang,不害怕,29,52,6881,,106788,
3995,French Montana,No Stylist,32,109,4184,,106784,
3996,Ed Sheeran,American Town,8,80,15202,,106722,
3997,Rachel Liang,愛一直存在,32,103,4374,,106674,
3998,Avicii,Hold The Line,21,71,8277,,106593,
3999,No Party For Cao Dong,在,24,36,11067,,106464,
4000,ROSALÍA,TKN,16,100,8551,,106332,
4001,NCT DOJAEJUNG,Perfume,9,104,13119,,106306,
4002,j,hope,14,91,9023,,106286,
4003,Fifth Harmony,BO$$,48,29,2795,,106120,
4004,Alessia Cara,Trust My Lonely,24,45,8482,,106093,
4005,NICKTHEREAL,I Am The Man,18,25,10571,,106093,
4006,Chih Siou,正想著你呢,12,97,12145,,106018,
4007,Lu Han,敏感(LH x Z.TAO),9,52,15570,,106001,
4008,Lana Del Rey,Love,29,53,7617,,105996,
4009,Stormzy,Own It,11,61,13144,,105929,
4010,WOOZI,What kind of future,7,43,25604,,105812,
4011,Xiao Yu,默念你,11,69,12426,,105808,
4012,Adele,My Little Love,10,52,15535,,105712,
4013,Tanya Chua,紫,26,57,6887,,105687,
4014,Evangeline Wong,不能呼吸的愛,8,52,15794,,105385,
4015,Fiona Sit,遠遠關心,23,48,8790,,105348,
4016,Taylor Swift,Blank Space (Taylor's Version),6,47,25223,,105345,
4017,Elva Hsiao,舞舞舞,23,29,10175,,105294,
4018,PPlin,最後一班車,8,139,14353,,105214,
4019,Billie Eilish,i love you,22,129,5804,,105124,
4020,IU,Can't Love You Anymore (With OHHYUK),30,50,6485,,105105,
4021,Daya,Safe,33,118,3906,,105066,
4022,Stefanie Sun,極美,28,52,6186,,104865,
4023,Nick Jonas,Find You,26,42,10722,,104856,
4024,Leehom Wang,親愛的,25,59,7495,,104843,
4025,HEIZE,We don’t talk together,14,63,11811,,104786,
4026,George Ezra,Shotgun,32,68,9277,,104568,
4027,Beyoncé,II MOST WANTED,8,109,15291,,104558,
4028,Andrea Bocelli,If Only,23,28,10162,,104554,
4029,TRASH,希望你回來,10,52,14378,,104483,
4030,頑童Mj116,Just Believe,51,62,3304,,104450,
4031,Justin Bieber,Mark My Words,36,49,4321,,104440,
4032,A,Lin,18,42,10771,,104387,
4033,Jess Lee,佔據幸福,48,86,2980,,104247,
4034,Post Malone,Enemies,17,114,7542,,104228,
4035,XIA,How Can I Love You,37,60,4665,,104223,
4036,Jia Jia,曾經美麗過,38,78,4235,,104154,
4037,Namewee,啪啪啪,27,55,8033,,103995,
4038,CoCo Lee,A Love Before Time,6,14,34732,,103961,
4039,LaLa Hsu,虧欠 (劇集《左耳》原創主題曲),8,146,14036,,103920,
4040,江靜 Jiang Jing,叩卡遛,8,63,14894,,103749,
4041,Fish Leong,秘果,28,63,6431,,103627,
4042,Whyte,Cazzo,10,48,14923,,103609,
4043,Fang Wu,總有一天,30,63,6124,,103603,
4044,Bad Bunny,La Difícil,13,105,10036,,103533,
4045,BTS,Your eyes tell,15,106,10311,,103507,
4046,Lil Mosey,Noticed,28,80,4522,,103430,
4047,EXID,FIRE,9,61,15192,,103428,
4048,Martin Garrix,Home,12,45,14102,,103298,
4049,SUPER JUNIOR,House Party,12,99,11120,,103259,
4050,Kim Na Young,There For You,15,133,7851,,103178,
4051,EXO,Let Me In,9,74,15963,,103144,
4052,Phil Lam,忘詞,35,52,4564,,103118,
4053,Yo Lee,如果你也愛我就好了,10,74,13240,,103049,
4054,TWICE,Celebrate,13,106,10314,,102961,
4055,Moon Taxi,Two High,39,143,3145,,102958,
4056,Jay Chou,美人魚,45,1,9,,6306,102941.0
4057,Xiao Yu,慣性取暖,29,41,8578,,102853,
4058,TAEYEON,Starlight,33,55,5472,,102840,
4059,Alan Walker,Heading Home,13,78,11036,,102830,
4060,筷子兄弟,小苹果,82,33,3463,,102690,
4061,4Minute,Hate,48,62,4856,,102690,
4062,Beyoncé,TEXAS HOLD 'EM,7,83,17251,,102665,
4063,Sia,Genius,16,48,11368,,102637,
4064,EXO,Monster,34,43,5609,,102552,
4065,Feng Ze,潛台詞,9,72,14046,,102546,
4066,陈村长,爱怎么了,10,153,10848,,102506,
4067,Lilly Wood and The Prick,Prayer In C (Robin Schulz Remix) [Radio Edit],42,52,3123,,102418,
4068,LaLa Hsu,遠距離練習,10,58,13126,,102408,
4069,N.E.R.D,Lemon,27,88,4956,,102324,
4070,BTS,Outro : Ego,11,65,14166,,102316,
4071,Chih Siou,我還在你的夢裡嗎,8,58,15224,,102213,
4072,HONNE,WHAT WOULD YOU DO?,17,125,7600,,102199,
4073,Will Pan,第二順位,9,57,14652,,102184,
4074,Alien Huang,玩具槍與玫瑰,10,65,14240,,102167,
4075,TRASH,離開台北,14,132,8142,,102071,
4076,Jay Chou,鞋子特大號,50,14,5790,,101955,
4077,The Chainsmokers,I Love U,13,81,11193,,101851,
4078,BIBI,Feeling Lucky,7,103,16773,,101762,
4079,馬念先,台北紐約,14,95,8673,,101744,
4080,Cheer Chen,傷害,15,22,13547,,101690,
4081,Jess Lee,分隔線,35,74,3922,,101612,
4082,Martin Garrix,Higher Ground,13,87,10534,,101563,
4083,Coldplay,Christmas Lights,24,30,8435,,101533,
4084,黃偉晉,最近的遠方,7,90,17332,,101429,
4085,A,Mei Chang,40,13,7066,,101395,
4086,Kenji Wu,你是我的星球,58,22,5940,,101340,
4087,Prince Royce,Stuck On a Feeling,67,56,2070,,101253,
4088,Pika Chiu,想回家,29,56,6607,,101237,
4089,j,hope,10,59,16178,,101225,
4090,Andrew Tan,心之所往,8,57,14966,,101221,
4091,Kaira Gong,再一次擁有,21,72,6375,,101169,
4092,BTS,Trivia 起 : Just Dance,19,22,11103,,101036,
4093,Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,8,51,20868,,100917,
4094,Gentle Bones,你還不知道?,9,53,15179,,100841,
4095,Post Malone,Hollywood's Bleeding,16,107,7928,,100735,
4096,IU,Hi spring Bye,8,53,17649,,100685,
4097,Vicky Chen,我們,7,102,16380,,100685,
4098,EXO,Ko Ko Bop,31,91,4815,,100666,
4099,CoCo Lee,Di Da Di,6,17,33124,,100603,
4100,j,hope,19,31,10718,,100602,
4101,玖壹壹,邊緣人,10,53,14112,,100558,
4102,WiFi歪歪,就忘了吧,16,177,6543,,100525,
4103,sodagreen,黎明前最暗時候,7,110,15614,,100514,
4104,Suming,【Aka pisawad】不要放棄(母語版),25,17,9698,,100470,
4105,Adele,Strangers By Nature,9,48,16563,,100429,
4106,RADWIMPS,Celebration (Movie Edit),17,123,6961,,100332,
4107,The Weeknd,Wasted Times,22,64,5576,,100262,
4108,Coldplay,Charlie Brown,12,56,17733,,100260,
4109,Ariana Grande,Last Christmas,15,62,14876,,100173,
4110,M.C the Max,"그대, 바람이 되어",32,55,5206,,100132,
4111,Rihanna,Love On The Brain,36,39,5733,,100023,
4112,Ren Ran,患得宠爱,7,54,15962,,100011,
4113,Elva Hsiao,Naked Truth赤裸真相,10,85,12745,,99998,
4114,RADWIMPS,Sparkle,32,72,4563,,99969,
4115,Lauv,Bracelet,17,31,10031,,99934,
4116,Juice Boy,沒資格愛你,8,135,14220,,99889,
4117,Waa Wei,Don't cry Don't cry,14,97,12139,,99871,
4118,Alesso,I Wanna Know,31,51,6593,,99868,
4119,Faye Wong,"偶遇 (電影""邪不壓正""宣傳曲)",22,39,9222,,99858,
4120,WeiBird,Intro,31,47,7044,,99833,
4121,BTS,Outro: Her,22,61,8193,,99767,
4122,Misi Ke,遊樂,36,54,4489,,99729,
4123,Cheer Chen,小船,18,24,12543,,99705,
4124,Beyond,海闊天空,19,22,8277,,99668,
4125,Central Cee,BAND4BAND,8,167,13415,,99616,
4126,Justin Bieber,No Pressure,36,57,3716,,99542,
4127,Thomas Gold,Magic,36,108,3521,,99524,
4128,2PM,Make it,16,117,7665,,99516,
4129,Kimberley Chen,9 Million,8,56,15301,,99501,
4130,LaLa Hsu,"最美的遇見 (電視劇《涼生,我們可不可以不憂傷》情感主题曲)",20,42,8983,,99451,
4131,Roy Kim,HEAVEN,36,87,4185,,99283,
4132,Diplo,Get It Right,26,82,5362,,99229,
4133,Jess Lee,Hey Baby 你是我的,21,36,8482,,99225,
4134,TAEYEON,Some Nights,10,48,16497,,99151,
4135,Adele,Remedy,38,75,4527,,99111,
4136,Waa Wei,Ophelia,14,104,11797,,99010,
4137,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),19,56,8060,,98905,
4138,SEVENTEEN,Back 2 Back,5,42,26778,,98879,
4139,Little Mix,Love Me Like You,50,78,3040,,98878,
4140,SEVENTEEN,Headliner,5,43,26376,,98839,
4141,21 Savage,monster,22,121,5330,,98759,
4142,告五人,帶你飛,10,86,13600,,98654,
4143,Jason Derulo,Wiggle,68,41,2179,,98624,
4144,Chih Siou,Everything Could Be Simple If We Love,11,85,13103,,98548,
4145,Joji,SLOW DANCING IN THE DARK,28,88,4680,,98533,
4146,Jolin Tsai,我對我 (DNF 十週年主題曲),20,33,10701,,98493,
4147,IU,My sea,8,55,17275,,98394,
4148,JJ Lin,I Am Alive,43,27,4045,,98317,
4149,LANY,I Don't Wanna Love You Anymore,27,50,7921,,98302,
4150,李崗霖,我沒有走開,23,32,10435,,98277,
4151,Adam Levine,Lost Stars,63,64,2269,,98164,
4152,f(x),4 Walls,36,51,4703,,98053,
4153,Nicky Jam,Hasta el Amanecer,33,64,3750,,98038,
4154,Rosie Yang,Set Me on Fire,42,57,3509,,98028,
4155,BIBI,Maybe if,14,128,8075,,97990,
4156,Jeremih,Don't Tell 'Em,47,20,3498,,97862,
4157,SUPER JUNIOR,Black Suit,26,72,5959,,97801,
4158,Katy Perry,Smile,11,74,12278,,97787,
4159,Justin Hurwitz,The End,37,121,4115,,97777,
4160,Nicky Lee,Stay,20,38,10104,,97775,
4161,AOA,Good Luck,37,62,4444,,97689,
4162,Joi Chua,會幸福嗎,34,70,5070,,97470,
4163,TWICE,SET ME FREE,7,65,15845,,97375,
4164,IU,Troll (Feat. DEAN),8,56,16932,,97365,
4165,Kat Dahlia,I Think I'm In Love,60,64,2340,,97361,
4166,Liam Payne,Stack It Up,12,72,11381,,97355,
4167,WINNER,I LOVE U,11,88,11164,,97350,
4168,Jimin,Slow Dance,7,98,17210,,97134,
4169,Crush,Rush Hour (Feat. j,11,113,10375,,97115,
4170,Under Lover,愛情太傷人 (韓劇《藍色海洋的傳說》片尾曲),23,50,8346,,97076,
4171,唐禹哲,算了吧,8,56,14420,,97058,
4172,Janice Yan,從此過著幸福快樂的日子,7,52,16257,,97033,
4173,(G)I,DLE,6,49,22837,,96966,
4174,P!nk,TRUSTFALL,10,122,10823,,96789,
4175,Power Station,我們之間,7,76,16275,,96750,
4176,Waa Wei,奶奶,13,56,12243,,96614,
4177,Robin Schulz,Sun Goes Down,42,29,3087,,96568,
4178,Tong En,在你眼裡(地下鐵片尾曲),30,68,4585,,96519,
4179,Taylor Swift,The Smallest Man Who Ever Lived,5,62,25819,,96491,
4180,思衛,小小的,30,74,4797,,96447,
4181,Robin Schulz,OK,34,69,6130,,96340,
4182,陳彥允,陌生的地方,45,66,3270,,96328,
4183,KARA,WHEN I MOVE,10,114,10930,,96328,
4184,A,Mei Chang,43,64,4373,,96215,
4185,LaLa Hsu,人啊,22,52,7178,,96182,
4186,Halsey,Die 4 Me,10,134,10593,,96154,
4187,Omarion,Post to Be,48,91,2726,,96104,
4188,Sigala,Just Got Paid,22,46,8282,,96091,
4189,YOASOBI,ハルカ,14,138,7799,,95897,
4190,吳青峰,空舞,21,35,8634,,95880,
4191,Iron & Wine,Naked As We Came,71,89,2230,,95774,
4192,Katy Perry,Rise,31,45,6935,,95713,
4193,Charlie Puth,If You Leave Me Now,20,40,10593,,95689,
4194,Iggy Azalea,Fancy,73,36,2787,,95649,
4195,Andy Grammer,"Honey, I'm Good.",45,49,4439,,95636,
4196,Fall Out Boy,The Last Of The Real Ones,31,68,5982,,95633,
4197,Maroon 5,Feelings,38,17,5417,,95628,
4198,Kehlani,Gangsta,32,62,4409,,95603,
4199,Jeremy Zucker,all the kids are depressed,32,128,3686,,95565,
4200,Evan Yo,你靠近我的身邊 (影視劇《別對我動心》片尾曲),7,127,14944,,95427,
4201,Coldplay,Hypnotised,24,25,11082,,95368,
4202,Nowhere Band,Colors,33,85,4338,,95362,
4203,Anitta,Downtown,29,93,4865,,95212,
4204,Halsey,So Good,13,124,8626,,95143,
4205,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),月面著陸 Moon Landing,9,80,11944,,95114,
4206,Rainie Yang,匿名的好友,22,118,7114,,95073,
4207,Yellow Claw,Both of Us,18,29,11851,,95063,
4208,blackbear,if i were u,12,92,10530,,94954,
4209,Trouze,Like You (中文版),20,44,8010,,94918,
4210,Pets Tseng,橙色的夢,7,53,15349,,94762,
4211,Hozier,Cherry Wine,61,77,2056,,94644,
4212,Miu Chu,我懂你的獨特,20,60,10149,,94634,
4213,Diplo,Welcome to the Party,25,43,7516,,94390,
4214,YOARI,TRUE,8,160,12503,,94355,
4215,Enno Cheng,金黃色的,8,70,17005,,94346,
4216,Sophie Chen,Song About Life,7,62,16448,,94235,
4217,CHUNG HA,Killing Me,11,108,10345,,94219,
4218,Mary See the Future 先知瑪莉,星夜裡的人,36,44,5049,,94205,
4219,Mayday,I WILL CARRY YOU,19,28,9133,,94176,
4220,Leehom Wang,唯一,11,52,14766,,94147,
4221,A,Mei Chang,29,82,5810,,94120,
4222,JJ Lin,害怕,28,85,4698,,94100,
4223,九澤CP,不確認關係,7,121,14244,,93981,
4224,安琥,答應我妳要好好的,25,70,6238,,93915,
4225,Julia Michaels,Hurt Again,11,48,13909,,93911,
4226,Fireboy DML,Peru,11,103,10748,,93886,
4227,Ronghao Li,太坦白,73,63,1809,,93846,
4228,Ed Sheeran,Barcelona,20,62,6172,,93773,
4229,HAOR,小朋友才做選擇,7,82,16262,,93739,
4230,IU,Empty Cup,8,57,16489,,93626,
4231,Young,趕不走的你,7,96,14992,,93528,
4232,艾薇,絕美,8,82,13411,,93500,
4233,王ADEN,HIGHLIGHT,9,113,11819,,93415,
4234,ALEX CHOU,唯一寫過的情書,7,56,14949,,93362,
4235,NCT 127,Favorite (Vampire),11,92,10283,,93306,
4236,Austyn Johnson,A Million Dreams (Reprise),24,97,5307,,93276,
4237,BABYMONSTER,Stuck In The Middle,8,122,15313,,93138,
4238,SEVENTEEN,Spell,5,52,24590,,93115,
4239,Jing Bo Ran,愛情掉在哪裡?,30,97,4237,,93111,
4240,Sam Hunt,House Party,49,70,3373,,92907,
4241,Alec Benjamin,Oh My God,11,89,11407,,92897,
4242,Della,時間告訴我的事 電視劇「重返20歲」主題曲,35,69,4557,,92841,
4243,WINNER,Remember,12,96,9876,,92763,
4244,A,Mei Chang,14,157,9214,,92632,
4245,張哲瀚,冰川消失那天Lost Glacier,7,78,14312,,92594,
4246,Katy Perry,Cry About It Later,11,83,11301,,92580,
4247,高爾宣 OSN,No Play,22,160,4505,,92575,
4248,LunchMoney Lewis,Whip It!,36,60,3660,,92554,
4249,Travis Scott,FRANCHISE,10,94,11388,,92532,
4250,Calvin Harris,Nuh Ready Nuh Ready,19,48,9276,,92367,
4251,Hilary Duff,Sparks,42,53,3314,,92364,
4252,張若凡RuoFan,如何忘記你,9,59,14161,,92228,
4253,Kei,Love Is,37,66,4237,,92170,
4254,Shi Shi,"Let Me Fall (電影""聖人大盜""片尾曲)",8,54,13569,,92144,
4255,Eminem,The Monster,58,37,2232,,92144,
4256,陳珮茹,給妳的禮物,26,86,5203,,92141,
4257,VaVa,So Bad,7,59,14778,,92062,
4258,Tracy Wang,空,42,58,3526,,91997,
4259,Priory,Weekend,57,53,2072,,91921,
4260,Why Don't We,Chills,10,78,12274,,91851,
4261,James Arthur,You Deserve Better,22,43,8293,,91847,
4262,Becky G,Lovin' So Hard,56,64,2621,,91839,
4263,Iggy Azalea,Team,37,83,3976,,91803,
4264,Nicky Lee,現在的自己,7,123,14797,,91802,
4265,Gordon,Same Old Same Old,9,76,12401,,91801,
4266,Lil Uzi Vert,That Way,13,129,7914,,91738,
4267,Bad Bunny,Yonaguni,17,167,5777,,91697,
4268,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),6,71,18759,,91688,
4269,WeiBird,Cheap Love,13,121,8596,,91685,
4270,GOT7,Breath,11,100,10248,,91673,
4271,Yoyo Sham,哪裡,34,49,4533,,91432,
4272,Capital Cities,Safe And Sound,61,35,2216,,91381,
4273,Ava Max,Who's Laughing Now,11,93,10785,,91377,
4274,JJ Lin,無濾鏡,9,75,12062,,91374,
4275,Aaron Yan,親愛的怪物,21,48,7815,,91364,
4276,Adele,To Be Loved,9,56,14267,,91343,
4277,Sandee Chan,漫天紛飛的銀杏森林,33,59,4048,,91291,
4278,Grady Guan,生日禮物2020,7,49,15131,,91188,
4279,Joi Chua,我是我,26,58,6540,,91176,
4280,Kehlani,up at night,10,77,12796,,91146,
4281,Taylor Swift,Clara Bow,5,71,24085,,91125,
4282,Sammy Chang,故作完美,10,54,12517,,91053,
4283,Kanye West,True Love,13,117,8066,,90966,
4284,Cosmos People,拿下這一場,21,45,8808,,90948,
4285,Coldplay,In My Place,10,59,17422,,90937,
4286,Jonas Brothers,Like It's Christmas,9,113,14376,,90931,
4287,April 2nd,The Hill of Yearning,13,128,8343,,90892,
4288,Loren Allred,Never Enough (Reprise),24,108,5205,,90808,
4289,MAMAMOO,Destiny,14,104,9490,,90707,
4290,Great Good Fine Ok,Find Yourself,30,91,4292,,90696,
4291,Zara Larsson,All the Time,11,45,13184,,90660,
4292,A,Lin,7,100,15320,,90657,
4293,林凡,幸福之前,8,55,13658,,90618,
4294,Tiger Hu,半生出走,7,72,14287,,90605,
4295,Sammi Cheng,"理智與感情 (電影""合約男女""主題曲)",27,56,6420,,90579,
4296,Rihanna,Born Again,10,113,10471,,90522,
4297,Drake,8 Out Of 10,15,12,12241,,90505,
4298,颜人中,陪我寂寞,7,69,14677,,90399,
4299,MinChen,Change,21,36,9382,,90352,
4300,9m88,月亮代表我的心(《華燈初上》插曲),9,80,12048,,90257,
4301,Macdella,歡迎光臨 Zone,12,104,8805,,90248,
4302,"五月天, 李榮浩, 蕭敬騰 & 毛不易",突然好想你 live in the sky,8,63,13822,,90206,
4303,Maroon 5,Moves Like Jagger,57,86,1871,,90191,
4304,Andrew Tan,腦袋都是你,7,79,14409,,90125,
4305,Dua Lipa,Physical,12,31,17693,,90050,
4306,A,Lin,20,95,5633,,90039,
4307,Wanna One,Beautiful,22,63,6428,,89999,
4308,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),立刻要爆炸 BOOOOOM,7,121,14610,,89948,
4309,Joji,Gimme Love,12,94,9624,,89944,
4310,One Direction,History,37,69,3793,,89934,
4311,Lhu Wen Kai 吕文凯,"那些年,我们的小幸运 (钢琴混搭)",37,83,3681,,89900,
4312,Galantis,Peanut Butter Jelly,55,55,2666,,89887,
4313,One Direction,Infinity,23,20,6809,,89882,
4314,Ty Dolla $ign,Saved,36,74,3429,,89852,
4315,Hailee Steinfeld,Afterlife,12,88,10553,,89808,
4316,Rose Liu,當世界安靜,32,112,3776,,89766,
4317,Leehom Wang,需要人陪,28,69,7461,,89591,
4318,Kenji Wu,人生超幽默,30,84,4660,,89514,
4319,Nicholas Teo,人生没有如果,41,40,5024,,89477,
4320,Louis Tomlinson,Just Like You,28,83,5105,,89312,
4321,PRODUCE 48,PICK ME,27,110,4352,,89264,
4322,Alicia Keys,Underdog,14,111,9093,,89156,
4323,Drake,Blem,26,88,4398,,89154,
4324,Xiao Bing Chih,外人 (諾亞方舟 10週年進化),7,88,14746,,89135,
4325,Mr. Probz,Space for Two,26,106,4521,,89093,
4326,IU,Ah puh,8,65,15214,,88881,
4327,Crispy脆樂團,一絲不掛的憂傷,7,82,15674,,88857,
4328,BLACKPINK,Kick It,12,61,12224,,88779,
4329,SEVENTEEN,Fire,5,38,23245,,88737,
4330,Soft Lipa,One Time,7,52,15536,,88735,
4331,Bae Lin,聲優,28,112,3841,,88639,
4332,Sasha Alex Sloan,Dancing With Your Ghost,10,182,9606,,88611,
4333,Dizzy Dizzo,Wifey,9,62,12121,,88601,
4334,Hardwell,Thinking About You,40,81,3872,,88543,
4335,Billie Eilish,my strange addiction,18,126,6190,,88539,
4336,MC HotDog,The Landlord Upstairs,7,130,14390,,88505,
4337,九澤CP,第四象限,7,70,13976,,88485,
4338,Mariah Carey,All I Want For Christmas Is You,35,12,4853,,88481,
4339,Kenji Wu,為你寫詩,17,63,7356,,88456,
4340,Yisa Yu,Dear Life,7,49,13895,,88333,
4341,Diana Wang,I don't know,35,79,4310,,88304,
4342,Gwen Stefani,Make Me Like You,39,106,3317,,88166,
4343,R3HAB,Rumors,27,66,6100,,88150,
4344,9m88,若我告訴你其實我愛的只是你,8,91,13230,,88144,
4345,BIGBANG,,10,68,18504,,88137,
4346,Maggie Chiang,雙手的溫柔,41,37,5195,,88118,
4347,Zooey Wonder,再也不見,9,57,12803,,88111,
4348,Shi Shi,還不夠,8,83,12952,,88088,
4349,WeiBird,雙棲動物,8,62,12469,,88021,
4350,Princess Ai,我不委屈 ?,7,57,13173,,87961,
4351,TANK 呂建忠,原來你這麼好,7,60,14075,,87903,
4352,Jay Chou,陽明山,40,2,4,,7134,87854.0
4353,Nine Chen,不想你了,7,62,13356,,87831,
4354,OneRepublic,Somebody To Love,10,62,11155,,87772,
4355,The Weeknd,A Lonely Night,20,40,6819,,87757,
4356,Coleman Hell,2 Heads,43,34,3538,,87713,
4357,EggPlantEgg,我的未來不是夢,8,54,12863,,87705,
4358,Valen Hsu,芙烈亞,18,32,10111,,87689,
4359,Lil Nas X,Old Town Road,13,91,7945,,87628,
4360,Drake,Pop Style,31,63,4363,,87626,
4361,Charlie Puth,Mother,11,78,9871,,87536,
4362,Nick Jonas,Right Now,28,120,4299,,87456,
4363,Taylor Swift,Out Of The Woods (Taylor's Version),6,58,20795,,87440,
4364,David Tao,就是愛妳,14,55,9856,,87394,
4365,Justin Bieber,What Do You Mean?,33,44,4740,,87331,
4366,MAX,Love Me Less,19,137,5226,,87281,
4367,Keira Knightley,Coming Up Roses,57,75,2357,,87270,
4368,SUNMI,Heroine,27,79,5982,,87270,
4369,Sam Smith,Man I Am (From Barbie The Album),7,77,15735,,87198,
4370,Kenji Wu,你說 我聽著呢…,8,55,13511,,87085,
4371,蔡恩雨 Priscilla Abby,你不懂,8,68,12673,,87042,
4372,Diana Wang,Somebody Else,7,89,14242,,87016,
4373,Normani,Checklist,15,33,12142,,86770,
4374,Kim Kyung Hee,And I'm here,30,103,4017,,86682,
4375,S.H.E,離開地球表面,38,45,4491,,86621,
4376,Taylor Swift,All Too Well (Taylor's Version),11,90,10037,,86578,
4377,Marshmello,Project Dreams,17,49,9678,,86569,
4378,Kanye West,Ghost Town,14,33,8464,,86556,
4379,告五人,同樣一個你,12,153,7530,,86554,
4380,KIMSEJEONG,All of My Days,13,134,7720,,86488,
4381,EXO,Lotto,35,46,7074,,86398,
4382,Linkin Park,Invisible,19,29,14934,,86351,
4383,JJ Lin,新地球,41,30,3935,,86303,
4384,Sam Smith,Money On My Mind,67,32,2358,,86251,
4385,Patrick Brasca,蝴蝶,8,85,12575,,86249,
4386,Xiao Bing Chih,可不可以別做他的情人,8,132,11903,,86234,
4387,Taylor Swift,invisible string,9,86,11673,,86180,
4388,LaLa Hsu,你有我 (電視劇《陪你一起長大》插曲),7,80,13054,,86028,
4389,Ella Mai,Trip,30,158,3179,,85975,
4390,Tiësto,Secrets,29,30,5378,,85959,
4391,Kimberley Chen,逆光,8,69,12032,,85954,
4392,HyunA,How's This,28,47,6350,,85918,
4393,Jung Yong Hwa,"10,000 HOURS",7,49,14931,,85916,
4394,Zhang Zhen Yue,酒鬼,8,59,12829,,85860,
4395,牛奶白,看你,27,88,5394,,85836,
4396,Evangeline Wong,我們有太多不同,23,72,5807,,85774,
4397,Young,走散,8,57,13490,,85723,
4398,Vicky Chen,Am I Who I Am,9,60,11879,,85703,
4399,Eve Ai,拼圖,27,62,5841,,85653,
4400,張若凡RuoFan,等待被理解的人,7,82,13922,,85635,
4401,GFRIEND,Apple,11,102,10022,,85622,
4402,Ronghao Li,自拍,53,21,3485,,85582,
4403,KIRE,Yes No Maybe,7,61,14776,,85572,
4404,LANY,dancing in the kitchen,13,108,8109,,85509,
4405,Linkin Park,What I've Done,12,1,6,,25304,85371.0
4406,Ren Ran,难堪,7,55,13419,,85369,
4407,Koala Liu,寂寞綁架,20,33,8729,,85334,
4408,Troye Sivan,Rager teenager!,11,100,10635,,85283,
4409,Eric Chou,Nobody But Me,14,50,9310,,85283,
4410,Coldplay,Birds,19,28,11951,,85257,
4411,Ronghao Li,也許是愛情,7,70,15092,,85210,
4412,Penny Tai,窗外,19,69,7287,,85187,
