,Artist,Title,Days,T10,Pk,x,PkStreams,Total
7076,iSHi,Push It,17,62,2198,,26477,
7077,Ava Max,Naked,4,153,6973,,26458,
7078,告五人,我無法克制自己,3,157,9526,,26455,
7079,Kenji Wu,相信愛情的笨蛋,3,174,8988,,26434,
7080,Imagine Dragons,Nice to Meet You,2,169,13569,,26434,
7081,keshi,GET IT,3,78,12314,,26421,
7082,Eason Chan,聖誕結,7,84,7917,,26419,
7083,肖懿航,刺青,6,86,6276,,26412,
7084,Billie Eilish,BITTERSUITE,2,166,14124,,26395,
7085,5 Seconds of Summer,Wildflower,4,108,8947,,26369,
7086,TAEYEON,Playlist,3,93,10847,,26368,
7087,陳嫺靜,輕輕(deca joins version),3,68,12359,,26359,
7088,5 Seconds of Summer,Girls Talk Boys,12,107,3279,,26352,
7089,陶晶瑩,太委屈,7,62,6171,,26350,
7090,Queen,Under Pressure,8,66,4698,,26336,
7091,Tyson Yoshi,would you be mine?,2,170,13617,,26326,
7092,PNAU,You Know What I Need,3,162,9233,,26304,
7093,Shane Cao,如果你愛我,7,82,4357,,26295,
7094,A,Mei Chang,7,57,5686,,26289,
7095,Becky G,MAMIII,4,189,6799,,26256,
7096,9m88,Whatchu Gonna...?,3,72,11967,,26238,
7097,Mayday,倔強(3DNA LIVE 版),7,51,7583,,26238,
7098,Mike Perry,Stay Young,9,118,3853,,26221,
7099,MisterWives,Hurricane,17,60,2307,,26217,
7100,Martin Garrix,Waiting For Tomorrow,8,144,3798,,26215,
7101,Liam Payne,All I Want (For Christmas),3,168,9524,,26175,
7102,Eason Chan,我們都寂寞,11,98,3267,,26157,
7103,Edward Sharpe & The Magnetic Zeros,Home,21,103,1774,,26130,
7104,Fire EX.,Song For You,7,70,5932,,26129,
7105,AFROJACK,All Night,4,145,7508,,26128,
7106,MAMAMOO,Gleam,5,101,7594,,26093,
7107,Justin Timberlake,Man of the Woods,7,48,7764,,26073,
7108,David Tao,飛機場的10:30,10,74,3639,,26061,
7109,Tizzy Bac,暴風,7,86,5965,,26055,
7110,A,Mei Chang,12,126,2743,,26044,
7111,G.E.M.,多美麗,4,129,8007,,26012,
7112,Eve Ai,Then You Come Along,11,81,4174,,26005,
7113,Billie Eilish,8,5,139,5641,,25991,
7114,IVE,My Satisfaction,3,93,10267,,25976,
7115,Christine Fan,悄悄告訴你,6,155,4622,,25934,
7116,TAEYEON,스트레스 Stress,9,38,5429,,25931,
7117,Chyi Chin,我在夜裡偷看過一顆星星,6,84,5345,,25913,
7118,Fire EX.,繼續向前行,6,56,7160,,25903,
7119,TWICE,Perfect World,4,119,7351,,25850,
7120,Taylor Swift,Clean (Taylor's Version),2,146,14211,,25812,
7121,Shadya Lan,這麼長一段,10,114,3404,,25801,
7122,Boon Hui Lu,還原,3,123,8897,,25797,
7123,TOMORROW X TOGETHER,Quarter Life,2,158,13418,,25793,
7124,TOMORROW X TOGETHER,Trust Fund Baby,3,97,9695,,25780,
7125,Shaggy,I Need Your Love,18,103,1938,,25775,
7126,Valentina Ploy,Let Go,4,131,7234,,25756,
7127,Elton John,After All,4,142,7432,,25726,
7128,Naomi Scott,Speechless (Part 2),6,162,4477,,25674,
7129,Skylar Grey,Wreak Havoc,12,141,2564,,25664,
7130,柯智棠,遠走,8,94,4021,,25661,
7131,Mac Miller,Self Care,8,99,3913,,25654,
7132,Coldplay,Adventure Of A Lifetime,6,70,7362,,25647,
7133,Gabrielle Aplin,Losing Me,4,184,6541,,25607,
7134,Justin Bieber,Come Around Me,4,130,7202,,25603,
7135,Waa Wei,很小很小,3,60,11931,,25601,
7136,Thirty Seconds To Mars,Walk On Water,5,60,8267,,25576,
7137,Joanna Wang,愛人,3,139,9564,,25550,
7138,Ray 黃霆睿,我不該 (戲劇《我的牙想你》插曲),3,169,8705,,25547,
7139,INFINITE,The Eye,12,99,3299,,25516,
7140,Sia,Cheap Thrills,11,62,3787,,25506,
7141,The Weeknd,Often,19,107,1547,,25499,
